"runtime_path"	"role"	"sha256"	"required_by"
"REPRO/scripts/392_script_KMPC_148_P5_3g7_C3_authoritative_logical_aggregate.py"	"executable-primary"	"191E0627220E75DF18A4FA416A2C61ECF38BD6DA006182BDA71BDFD486ED7E21"	"compile/help/smoke/official"
"REPRO/scripts/baseScripts/p5_general_synchronous/c3_authoritative_logical_aggregate.py"	"runtime-import-primary"	"EE688EAEFC370163F6AE555E169AC61A78D03EFEECC635101DA06D4ECAC17505"	"runner import and aggregate contract"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_AD_K0p005_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"D3FB5710390B3395212067B8BC968E48AEBA04AF9A0D38A4313195A39C6B3DAA"	"PAIR_SPECS AD/.005"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_132_P5_3G7_C3_AD_K0p05_ZERO_VARIANT_PAIR_SUPPORT_04_06.json"	"runtime-prerequisite"	"DCF6D7D957365FCDA127B1F0F5E27068625A3FB83DFDD1E367E1A052158D8D82"	"PAIR_SPECS AD/.05"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_AD_K0p15_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"FFEB802BADF663F812023914C1B8C34AA150070A763BBF123E41A55E7BFE4C47"	"PAIR_SPECS AD/.15"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_CDI_K0p005_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"9E1BCC3D291858DE55E15A31246D33026CDD4B9774753304B8FC0BBA62BB3BA4"	"PAIR_SPECS CDI/.005"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_CDI_K0p05_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"DC38CD6C5E9EF15B0FB86878BF4125A431BBB04C537887874D1A38786F6F5A3F"	"PAIR_SPECS CDI/.05"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_133_P5_3G7_C3_CDI_K0p15_ZERO_VARIANT_PAIR_SAME_MATRIX_REFINEMENT.json"	"runtime-prerequisite"	"42BE1CAC74BC0BB879F7065B8B0FF36C0D1B8E382BC74537248DDAF02711717E"	"PAIR_SPECS CDI/.15"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_BI_K0p005_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"28337F4D16137DE29B197A556A88E96B0F326510CCFCB961AD5598D804886356"	"PAIR_SPECS BI/.005"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_BI_K0p05_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"81E27A42B8B0FB3FB405330279D131C725808CA17D38B97216B3BEE25E828937"	"PAIR_SPECS BI/.05"
