"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__KMPC148_PREREGISTRATION.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/242_KMPC_148_C3_AUTHORITATIVE_LOGICAL_AGGREGATE_PREREGISTRATION_SK.md"	"primary"	"26ECB5963E87951AE29B101219D661AAB6E9393099BA13A8A2327059454A3283"	"26ECB5963E87951AE29B101219D661AAB6E9393099BA13A8A2327059454A3283"	"frozen question, 15+5 register and decision branches"
"EVIDENCE/002__KMPC148_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/243_KMPC_148_C3_AUTHORITATIVE_LOGICAL_AGGREGATE_INTERNAL_AUDIT_SK.md"	"derived"	"39296FA5A02FA8F103A25AF6D29D04960CFCA57BCAF1620F6FB6005E7251353E"	"39296FA5A02FA8F103A25AF6D29D04960CFCA57BCAF1620F6FB6005E7251353E"	"authoritative internal interpretation and unchanged score"
"EVIDENCE/003__KMPC148_PASS_REFERENCE.json"	"scripts/results/k_mpc_005/RUN_KMPC_148_P5_3G7_C3_AUTHORITATIVE_LOGICAL_AGGREGATE_45_OF_45.json"	"raw-result"	"C493B102859CE6181F42BABDFE69A12C9D3B5900040F796D2DECAE0403678238"	"C493B102859CE6181F42BABDFE69A12C9D3B5900040F796D2DECAE0403678238"	"reference for exact T2 field parity"
"REPRO/scripts/392_script_KMPC_148_P5_3g7_C3_authoritative_logical_aggregate.py"	"scripts/392_script_KMPC_148_P5_3g7_C3_authoritative_logical_aggregate.py"	"executable-primary"	"191E0627220E75DF18A4FA416A2C61ECF38BD6DA006182BDA71BDFD486ED7E21"	"191E0627220E75DF18A4FA416A2C61ECF38BD6DA006182BDA71BDFD486ED7E21"	"frozen CLI and immutable output guards"
"REPRO/scripts/baseScripts/p5_general_synchronous/c3_authoritative_logical_aggregate.py"	"scripts/baseScripts/p5_general_synchronous/c3_authoritative_logical_aggregate.py"	"runtime-import-primary"	"EE688EAEFC370163F6AE555E169AC61A78D03EFEECC635101DA06D4ECAC17505"	"EE688EAEFC370163F6AE555E169AC61A78D03EFEECC635101DA06D4ECAC17505"	"read-only exact-hash aggregate implementation"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_AD_K0p005_ZERO_VARIANT_PAIR.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_AD_K0p005_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"D3FB5710390B3395212067B8BC968E48AEBA04AF9A0D38A4313195A39C6B3DAA"	"D3FB5710390B3395212067B8BC968E48AEBA04AF9A0D38A4313195A39C6B3DAA"	"authoritative C3 pair AD/.005"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_132_P5_3G7_C3_AD_K0p05_ZERO_VARIANT_PAIR_SUPPORT_04_06.json"	"scripts/results/k_mpc_005/RUN_KMPC_132_P5_3G7_C3_AD_K0p05_ZERO_VARIANT_PAIR_SUPPORT_04_06.json"	"runtime-prerequisite"	"DCF6D7D957365FCDA127B1F0F5E27068625A3FB83DFDD1E367E1A052158D8D82"	"DCF6D7D957365FCDA127B1F0F5E27068625A3FB83DFDD1E367E1A052158D8D82"	"authoritative C3 pair AD/.05"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_AD_K0p15_ZERO_VARIANT_PAIR.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_AD_K0p15_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"FFEB802BADF663F812023914C1B8C34AA150070A763BBF123E41A55E7BFE4C47"	"FFEB802BADF663F812023914C1B8C34AA150070A763BBF123E41A55E7BFE4C47"	"authoritative C3 pair AD/.15"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_CDI_K0p005_ZERO_VARIANT_PAIR.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_CDI_K0p005_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"9E1BCC3D291858DE55E15A31246D33026CDD4B9774753304B8FC0BBA62BB3BA4"	"9E1BCC3D291858DE55E15A31246D33026CDD4B9774753304B8FC0BBA62BB3BA4"	"authoritative C3 pair CDI/.005"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_CDI_K0p05_ZERO_VARIANT_PAIR.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_CDI_K0p05_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"DC38CD6C5E9EF15B0FB86878BF4125A431BBB04C537887874D1A38786F6F5A3F"	"DC38CD6C5E9EF15B0FB86878BF4125A431BBB04C537887874D1A38786F6F5A3F"	"authoritative C3 pair CDI/.05"
